1349,Aiwass Aeon,STANDARD
1349,Aiwass Aeon,UNKNOWN
1349,Hellfire,UNKNOWN
1349,Manifest,STANDARD
1349,Riders Of The Apocalypse,UNKNOWN
1349,Sculptor of Flesh,STANDARD
3 Inches of Blood,Deadly Sinners,UNKNOWN
Ablaze My Sorrow,Erased / relived,ONE STEP DOWN
Ablaze My Sorrow,Into the Land of Dreams,ONE STEP DOWN
Ablaze My Sorrow,Mournful Serenade,ONE STEP DOWN
Ablaze My Sorrow,The Return of the Mighty Raven,ONE STEP DOWN
Ablaze My Sorrow,The Truth is Sold,ONE STEP DOWN
Aborted,Charted Carnal Effigy,TWO AND HALF STEPS DOWN
Aborted,Methiculous Invagination,TWO AND HALF STEPS DOWN
Aborted,The Inertia,UNKNOWN
Aborted,The Lament Configuration,ONE STEP DOWN
Absorbed (NL),Absorbed,UNKNOWN
Absorbed (NL),Maximum Deformity,UNKNOWN
Absorbed (NL),Sunset Bleeding,UNKNOWN
Absorbed (NL),The Christgrinder,UNKNOWN
Absu,Highland Tyrant Attack,STANDARD
Absu,Pillars Of Mercy,HALF STEP DOWN
Absurd (DE),Als die Alten jung noch waren *,UNKNOWN
Absurd (DE),Dreaming of Love,STANDARD
Absurd (DE),Gemetzel in Der Felsenschlucht,STANDARD
Absurd (DE),In Die Schlacht,UNKNOWN
Absurd (DE),Last Breath *,STANDARD
Absurd (DE),Nordmaennerlied,STANDARD
Absu,She Cries The Quiet Lake,STANDARD
Absu,Stone Of Destiny (...for Magh Slecht And Ard Righ),HALF STEP DOWN
Accept,Ahead Of The Pack,STANDARD
Accept,Fast As A Shark,STANDARD
Accept,Flash Rockin' Man,STANDARD
Accept,Helldriver,STANDARD
Accept,I'm a Rebel,STANDARD
Accept,Monsterman,STANDARD
Accept,Princess Of The Dawn,UNKNOWN
Accept,Shake Your Heads,STANDARD
Accidental Suicide,Flesh Parade,DROP C
Acid Bath,Bleed Me An Ocean,TWO STEPS DOWN
Acid Bath,Bleed Me An Ocean,UNKNOWN
Acid Bath,Diab Soule,DROP C
Acid Bath,Dope Feind,TWO STEPS DOWN
Acid Bath,Finger Paintings Of The Insane,DROP C
Acid Bath,Finger Paintings Of The Insane,TWO STEPS DOWN
Acid Bath,New Death Sensation,UNKNOWN
Acid Bath,Paegan Love Song,ONE STEP DOWN
Acid Bath,Scream Of The Butterfly,UNKNOWN
Acid Bath,The Blue,STANDARD
Acid Bath,The Blue,TWO STEPS DOWN
Acid Bath,The Morticians Flame,ONE STEP DOWN
Acid Bath,The Morticians Flame,STANDARD
Acid Bath,Tranquilized,STANDARD
Acid Bath,Venus Blue,ONE AND HALF STEP DOWN
Acid Reign,Hangin' On The Telephone (Blondie cover),STANDARD
Aclys,diva,UNKNOWN
Aclys,leidspanne,UNKNOWN
Adorned Brood,Lebenslied,UNKNOWN
Adorned Brood,Old Great Master,UNKNOWN
Adorned Brood,Totenmarsch,STANDARD
Aeon (SE),Soulburner,STANDARD
Aesma Daeva,Lysander,UNKNOWN
After Forever,Attendance,UNKNOWN
After Forever,Black Tomb,ONE STEP DOWN
After Forever,Come,DROP C
After Forever,Follow In The Cry,ONE STEP DOWN
After Forever,Intrinsic,ONE STEP DOWN
After Forever,Leaden Legacy,ONE STEP DOWN
After Forever,Line Of Thoughts,STANDARD
After Forever,Monolith Of Doubt,ONE STEP DOWN
After Forever,Yield To Temptation,STANDARD
Agalloch,...And The Great Cold Death Of The Earth,STANDARD
Agalloch,The Wolves of Timberline,UNKNOWN
Agalloch,You Were But A Ghost In My Arms,STANDARD
Agathocles,A for Arrogance,TWO AND HALF STEPS DOWN
Agathocles,Chop Off Their Genitals,STANDARD
Agathocles,Forced to masturbate,TWO AND HALF STEPS DOWN
Agathocles,Go Fucking Nihilist,TWO AND HALF STEPS DOWN
Agathocles,Lay off me,TWO AND HALF STEPS DOWN
Agathocles,Raw War,STANDARD
Agathodaimon,Sfintit Cu Roua Suferintii,UNKNOWN
Agent Steel,Agents of Steel,UNKNOWN
Agent Steel,Unstoppable Force,STANDARD
Agent Steel,Unstoppable Force,UNKNOWN
Agiel,Deeds Rendered Upon The Flesh,ONE STEP DOWN
Agiel,Yaweh Is My Sacrifice,ONE STEP DOWN
Agnus Dei (MX),Invocation Of The Norse Spirit,STANDARD
Agnus Dei (MX),King By Blood Right,STANDARD
Ahumado Granujo,After Accident Part III,TWO AND HALF STEPS DOWN
Ahumado Granujo,Bleeding Peptic Ulcer (Regurgitate cover),TWO AND HALF STEPS DOWN
Ahumado Granujo,Boneyard (Impetigo cover),TWO AND HALF STEPS DOWN
Ahumado Granujo,Cold Turkey,TWO AND HALF STEPS DOWN
Ahumado Granujo,Consequence (Ulcerous Phlegm cover),TWO AND HALF STEPS DOWN
Ahumado Granujo,Cripple Bitch (Gut cover),TWO AND HALF STEPS DOWN
Ahumado Granujo,Fugu (Works the Same as Currare Muthafucka'),TWO AND HALF STEPS DOWN
Ahumado Granujo,Vaginal Journey to the World of Erected Toys,TWO AND HALF STEPS DOWN
Ajattara,Ã„grÃ¤s,ONE STEP DOWN
